line,page,dates,month,day,year,time,plot,mass,svl,tl,sex,gravid,group,clutch,color,recap,mark,id,damage
1513,50,11/6/08,11,6,2008,N,5,0.468,31,56,U,N,U,NA,R,NA,NA,1133,N
709,23,6/11/08,6,11,2008,D,4,0.469,31,54,U,N,U,NA,R,NA,NA,501,N
264,9,5/31/08,5,31,2008,N,5,0.472,31,61,U,N,U,NA,R,NA,NA,104,N
1555,51,11/8/08,11,8,2008,N,9,0.474,31,60,U,N,U,NA,R,NA,NA,NA,N
471,15,6/4/08,6,4,2008,N,7,0.48,31,54,U,N,U,NA,R,NA,NA,270,Y
501,16,6/4/08,6,4,2008,N,3,0.483,31,62,U,N,U,NA,R,NA,NA,299,N
800,25,6/17/08,6,17,2008,N,9,0.485,31,60,U,N,U,NA,R,NA,NA,591,N
431,14,6/4/08,6,4,2008,N,4,0.511,31,54,U,N,U,NA,R,NA,NA,232,Y
822,26,6/17/08,6,17,2008,N,7,0.516,31,43,U,N,U,NA,R,NA,NA,613,Y
2661,86,6/19/09,6,19,2009,N,7,0.537,31,67,U,N,U,NA,R,NA,NA,1894,N
