featureid,species,catch,year_min,year_max
201486098,BKT,51,2007,2007
201486123,BKT,105,2002,2002
201486245,BKT,13,2001,2001
201486254,BKT,1,2001,2001
201486307,BKT,0,NA,NA
201486334,BKT,0,NA,NA
201486410,BKT,0,NA,NA
201486487,BKT,0,NA,NA
201486528,BKT,25,2002,2002
201486533,BKT,0,NA,NA
201486657,BKT,1,2001,2001
201486675,BKT,0,NA,NA
201486748,BKT,1,2006,2006
201486755,BKT,0,NA,NA
201486783,BKT,14,2002,2002
201486790,BKT,0,NA,NA
201486798,BKT,122,2006,2006
201486839,BKT,9,2002,2002
201486871,BKT,0,NA,NA
201486971,BKT,0,NA,NA
201486973,BKT,1,2001,2001
201487050,BKT,0,NA,NA
201487097,BKT,13,2005,2005
201487118,BKT,0,NA,NA
201487231,BKT,31,2005,2005
201487253,BKT,0,NA,NA
201487328,BKT,66,2006,2006
201487422,BKT,1,2005,2005
201487445,BKT,2,2005,2005
201487483,BKT,3,2002,2002
201487580,BKT,0,NA,NA
201487705,BKT,59,2006,2006
201487728,BKT,0,NA,NA
201487745,BKT,0,NA,NA
201487774,BKT,64,2005,2005
201487831,BKT,0,NA,NA
201487887,BKT,20,2006,2006
201487948,BKT,51,2007,2007
201488084,BKT,4,2006,2006
201488226,BKT,0,NA,NA
201488410,BKT,1,2006,2006
201488426,BKT,8,2006,2006
201488777,BKT,0,NA,NA
201489281,BKT,1,2003,2003
202953642,BKT,2,2002,2002
202953888,BKT,31,2007,2007
202953968,BKT,19,2006,2006
202954073,BKT,0,NA,NA
202954106,BKT,0,NA,NA
202954203,BKT,0,NA,NA
202954256,BKT,96,2002,2002
202954318,BKT,0,NA,NA
202954477,BKT,0,NA,NA
202954689,BKT,39,2002,2002
202954982,BKT,2,2006,2006
202955096,BKT,36,2007,2007
202955358,BKT,20,2002,2002
202955375,BKT,2,2007,2007
202955426,BKT,23,2002,2002
202955569,BKT,19,2002,2002
202955856,BKT,11,2002,2002
202955950,BKT,85,2002,2002
202956222,BKT,41,2006,2006
202956275,BKT,14,2002,2002
202956332,BKT,15,2006,2006
202956829,BKT,16,2006,2006
202971974,BKT,3,1993,1993
202972156,BKT,61,1993,1993
202972371,BKT,1,1993,1993
202972455,BKT,0,NA,NA
202972497,BKT,0,NA,NA
202972528,BKT,0,NA,NA
202972791,BKT,1,1993,1993
202972792,BKT,39,1993,1993
202972805,BKT,0,NA,NA
202973105,BKT,85,1993,1993
202973178,BKT,26,1993,1993
202973237,BKT,22,2009,2009
202973247,BKT,43,1993,1993
202973388,BKT,0,NA,NA
202973414,BKT,1,2007,2007
202973447,BKT,0,NA,NA
202973633,BKT,0,NA,NA
202973647,BKT,0,NA,NA
202973696,BKT,2,2010,2010
202973978,BKT,1,2006,2006
202974060,BKT,31,2009,2009
202974134,BKT,0,NA,NA
